"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Home","Dallas Mavericks","42100","2017-10-21","8:00PM","Toyota Center","Harden","James",6,6,4,4,66.7,13,13,6,6,46.2,19,19,10,10,52.6,4,4,3,3,75,0,0,2,2,3,3,7,7,29,29,5,5,2,2,0,0,0,0,9,9,0,0,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,1845,1845,1
"Home","Memphis Grizzlies","42113","2017-10-23","8:00PM","Toyota Center","Harden","James",12,12,6,6,50,8,8,2,2,25,20,20,8,8,40,8,8,4,4,50,1,1,4,4,5,5,8,8,22,22,7,7,1,1,0,0,2,2,12,12,0,0,4,4,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,-14,-14,2108,2108,1
"Home","Philadelphia 76ers","42166","2017-10-30","8:00PM","Toyota Center","Harden","James",14,14,5,5,35.7,7,7,3,3,42.9,21,21,8,8,38.1,12,12,10,10,83.3,1,1,3,3,4,4,7,7,29,29,7,7,4,4,1,1,3,3,11,11,0,0,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,-12,2307,2307,1
"Home","Utah Jazz","42210","2017-11-05","7:00PM","Toyota Center","Harden","James",17,17,12,12,70.6,8,8,7,7,87.5,25,25,19,19,76,12,12,11,11,91.7,0,0,2,2,2,2,13,13,56,56,7,7,2,2,0,0,0,0,14,14,0,0,3,3,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2115,2115,1
"Home","Cleveland Cavaliers","42235","2017-11-09","8:00PM","Toyota Center","Harden","James",7,7,2,2,28.6,14,14,6,6,42.9,21,21,8,8,38.1,14,14,13,13,92.9,1,1,10,10,11,11,13,13,35,35,5,5,5,5,1,1,0,0,15,15,0,0,4,4,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2561,2561,1
"Home","Memphis Grizzlies","42249","2017-11-11","8:00PM","Toyota Center","Harden","James",11,11,5,5,45.4,14,14,6,6,42.9,25,25,11,11,44,14,14,10,10,71.4,0,0,4,4,4,4,8,8,38,38,3,3,0,0,1,1,2,2,10,10,0,0,3,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,2255,2255,1
"Home","Toronto Raptors","42271","2017-11-14","8:00PM","Toyota Center","Harden","James",14,14,5,5,35.7,11,11,3,3,27.3,25,25,8,8,32,19,19,19,19,100,1,1,5,5,6,6,11,11,38,38,9,9,0,0,1,1,1,1,19,19,0,0,5,5,13,13,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2362,2362,1
"Home","Denver Nuggets","42329","2017-11-22","8:00PM","Toyota Center","Harden","James",9,9,5,5,55.6,7,7,1,1,14.3,16,16,6,6,37.5,9,9,8,8,88.9,1,1,7,7,8,8,9,9,21,21,7,7,0,0,0,0,1,1,6,6,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,1898,1898,1
"Home","New York Knicks","42350","2017-11-25","8:00PM","Toyota Center","Harden","James",14,14,7,7,50,13,13,5,5,38.5,27,27,12,12,44.4,10,10,8,8,80,0,0,2,2,2,2,10,10,37,37,1,1,3,3,0,0,0,0,8,8,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2212,2212,1
"Home","Brooklyn Nets","42363","2017-11-27","8:00PM","Toyota Center","Harden","James",7,7,5,5,71.4,13,13,8,8,61.5,20,20,13,13,65,4,4,3,3,75,0,0,10,10,10,10,8,8,37,37,4,4,2,2,2,2,0,0,4,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,2147,2147,1
"Home","Indiana Pacers","42378","2017-11-29","8:00PM","Toyota Center","Harden","James",10,10,4,4,40,12,12,4,4,33.3,22,22,8,8,36.4,9,9,9,9,100,2,2,6,6,8,8,10,10,29,29,1,1,1,1,0,0,2,2,6,6,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,2119,2119,1
"Home","New Orleans Pelicans","42460","2017-12-11","8:00PM","Toyota Center","Harden","James",6,6,4,4,66.7,10,10,4,4,40,16,16,8,8,50,9,9,6,6,66.7,0,0,1,1,1,1,17,17,26,26,3,3,6,6,0,0,0,0,8,8,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2097,2097,1
"Home","Charlotte Hornets","42481","2017-12-13","9:30PM","Toyota Center","Harden","James",12,12,5,5,41.7,10,10,3,3,30,22,22,8,8,36.4,2,2,2,2,100,0,0,4,4,4,4,8,8,21,21,3,3,1,1,1,1,1,1,7,7,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,1875,1875,1
"Home","San Antonio Spurs","42497","2017-12-15","9:30PM","Toyota Center","Harden","James",7,7,4,4,57.1,11,11,2,2,18.2,18,18,6,6,33.3,16,16,14,14,87.5,0,0,7,7,7,7,6,6,28,28,5,5,2,2,1,1,1,1,9,9,0,0,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1981,1981,1
"Home","Milwaukee Bucks","42503","2017-12-16","8:00PM","Toyota Center","Harden","James",11,11,4,4,36.4,10,10,4,4,40,21,21,8,8,38.1,14,14,11,11,78.6,0,0,6,6,6,6,5,5,31,31,3,3,0,0,1,1,4,4,12,12,0,0,4,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2352,2352,1
