"court","opponent","game.id","game.date","game.time","game.location","player.LastName","player.FirstName","Fg2PtAtt.","Fg2PtAttPerGame.","Fg2PtMade.","Fg2PtMadePerGame.","Fg2PtPct.","Fg3PtAtt.","Fg3PtAttPerGame.","Fg3PtMade.","Fg3PtMadePerGame.","Fg3PtPct.","FgAtt.","FgAttPerGame.","FgMade.","FgMadePerGame.","FgPct.","FtAtt.","FtAttPerGame.","FtMade.","FtMadePerGame.","FtPct.","OffReb.","OffRebPerGame.","DefReb.","DefRebPerGame.","Reb.","RebPerGame.","Ast.","AstPerGame.","Pts.","PtsPerGame.","Tov.","TovPerGame.","Stl.","StlPerGame.","Blk.","BlkPerGame.","BlkAgainst.","BlkAgainstPerGame.","Fouls.","FoulsPerGame.","FoulsDrawn.","FoulsDrawnPerGame.","FoulPers.","FoulPersPerGame.","FoulPersDrawn.","FoulPersDrawnPerGame.","FoulTech.","FoulTechPerGame.","FoulTechDrawn.","FoulTechDrawnPerGame.","FoulFlag1.","FoulFlag1PerGame.","FoulFlag1Drawn.","FoulFlag1DrawnPerGame.","FoulFlag2.","FoulFlag2PerGame.","FoulFlag2Drawn.","FoulFlag2DrawnPerGame.","Ejections.","PlusMinus.","PlusMinusPerGame.","MinSeconds.","MinSecondsPerGame.","GamesStarted."
"Home","Boston Celtics","42070","2017-10-17","8:00PM","Quicken Loans Arena","James","LeBron",14,14,11,11,78.6,5,5,1,1,20,19,19,12,12,63.2,4,4,4,4,100,1,1,15,15,16,16,9,9,29,29,4,4,0,0,2,2,1,1,8,8,0,0,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2472,2472,1
"Home","Orlando Magic","42099","2017-10-21","8:00PM","Quicken Loans Arena","James","LeBron",12,12,7,7,58.3,3,3,1,1,33.3,15,15,8,8,53.3,6,6,5,5,83.3,0,0,4,4,4,4,2,2,22,22,1,1,1,1,1,1,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-31,-31,1872,1872,1
"Home","Chicago Bulls","42119","2017-10-24","7:00PM","Quicken Loans Arena","James","LeBron",14,14,9,9,64.3,6,6,4,4,66.7,20,20,13,13,65,5,5,4,4,80,0,0,2,2,2,2,13,13,34,34,2,2,3,3,0,0,1,1,7,7,0,0,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2235,2235,1
"Home","New York Knicks","42159","2017-10-29","7:00PM","Quicken Loans Arena","James","LeBron",11,11,6,6,54.6,4,4,1,1,25,15,15,7,7,46.7,1,1,1,1,100,1,1,9,9,10,10,7,7,16,16,4,4,2,2,0,0,1,1,6,6,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-17,2368,2368,1
"Home","Indiana Pacers","42174","2017-11-01","7:00PM","Quicken Loans Arena","James","LeBron",17,17,13,13,76.5,5,5,1,1,20,22,22,14,14,63.6,5,5,4,4,80,1,1,5,5,6,6,11,11,33,33,8,8,2,2,1,1,0,0,5,5,0,0,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,-12,-12,2248,2248,1
"Home","Atlanta Hawks","42205","2017-11-05","3:00PM","Quicken Loans Arena","James","LeBron",14,14,10,10,71.4,3,3,0,0,0,17,17,10,10,58.8,6,6,6,6,100,2,2,3,3,5,5,13,13,26,26,6,6,1,1,2,2,1,1,11,11,0,0,4,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,2435,2435,1
"Home","Milwaukee Bucks","42219","2017-11-07","7:00PM","Quicken Loans Arena","James","LeBron",16,16,8,8,50,4,4,2,2,50,20,20,10,10,50,10,10,8,8,80,1,1,7,7,8,8,9,9,30,30,1,1,3,3,0,0,1,1,7,7,0,0,1,1,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,6,6,2202,2202,1
"Home","Los Angeles Clippers","42290","2017-11-17","7:30PM","Quicken Loans Arena","James","LeBron",17,17,13,13,76.5,9,9,4,4,44.4,26,26,17,17,65.4,5,5,1,1,20,1,1,13,13,14,14,6,6,39,39,6,6,1,1,0,0,1,1,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2768,2768,1
"Home","Brooklyn Nets","42324","2017-11-22","7:00PM","Quicken Loans Arena","James","LeBron",10,10,7,7,70,7,7,4,4,57.1,17,17,11,11,64.7,9,9,7,7,77.8,1,1,5,5,6,6,5,5,33,33,3,3,2,2,0,0,0,0,9,9,0,0,2,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2006,2006,1
"Home","Charlotte Hornets","42341","2017-11-24","8:00PM","Quicken Loans Arena","James","LeBron",12,12,7,7,58.3,8,8,3,3,37.5,20,20,10,10,50,7,7,4,4,57.1,1,1,15,15,16,16,13,13,27,27,3,3,0,0,3,3,0,0,7,7,0,0,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2374,2374,1
